PRODUCTKEY,PRODUCTALTERNATEKEY,PRODUCTSUBCATEGORYKEY,WEIGHTUNITMEASURECODE,SIZEUNITMEASURECODE,ENGLISHPRODUCTNAME,STANDARDCOST,FINISHEDGOODSFLAG,COLOR,SAFETYSTOCKLEVEL,REORDERPOINT,LISTPRICE,SIZEACTUAL,SIZERANGE,WEIGHT,DAYSTOMANUFACTURE,PRODUCTLINE,DEALERPRICE,CLASS,STYLE,MODELNAME,ENGLISHDESCRIPTION,STARTDATE,ENDDATE,STATUS
370,BK-R89R-52,2,LB ,CM ,"Road-250 Red, 52",1519,1,Red,100,75,2443.35,52,48-52 CM,15.42,4,R ,1466,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2002-07-01,2003-06-30,
371,BK-R89R-58,2,LB ,CM ,"Road-250 Red, 58",1321,1,Red,100,75,2181.56,58,54-58 CM,15.79,4,R ,1309,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2002-07-01,2003-06-30,
372,BK-R89R-58,2,LB ,CM ,"Road-250 Red, 58",1555,1,Red,100,75,2443.35,58,54-58 CM,15.79,4,R ,1466,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2003-07-01,,Current
325,BK-R50R-62,2,LB ,CM ,"Road-650 Red, 62",487,1,Red,100,75,782.99,62,60-62 CM,20.0,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
326,BK-R50R-44,2,LB ,CM ,"Road-650 Red, 44",413,1,Red,100,75,699.1,44,42-46 CM,18.77,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
327,BK-R50R-44,2,LB ,CM ,"Road-650 Red, 44",487,1,Red,100,75,782.99,44,42-46 CM,18.77,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
328,BK-R50R-48,2,LB ,CM ,"Road-650 Red, 48",413,1,Red,100,75,699.1,48,48-52 CM,19.13,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
329,BK-R50R-48,2,LB ,CM ,"Road-650 Red, 48",487,1,Red,100,75,782.99,48,48-52 CM,19.13,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
330,BK-R50R-52,2,LB ,CM ,"Road-650 Red, 52",413,1,Red,100,75,699.1,52,48-52 CM,19.42,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
331,BK-R50R-52,2,LB ,CM ,"Road-650 Red, 52",487,1,Red,100,75,782.99,52,48-52 CM,19.42,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
332,BK-R50B-58,2,LB ,CM ,"Road-650 Black, 58",413,1,Black,100,75,699.1,58,54-58 CM,19.79,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
333,BK-R50B-58,2,LB ,CM ,"Road-650 Black, 58",487,1,Black,100,75,782.99,58,54-58 CM,19.79,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
334,BK-R50B-60,2,LB ,CM ,"Road-650 Black, 60",413,1,Black,100,75,699.1,60,60-62 CM,19.9,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
335,BK-R50B-60,2,LB ,CM ,"Road-650 Black, 60",487,1,Black,100,75,782.99,60,60-62 CM,19.9,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
336,BK-R50B-62,2,LB ,CM ,"Road-650 Black, 62",413,1,Black,100,75,699.1,62,60-62 CM,20.0,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
337,BK-R50B-62,2,LB ,CM ,"Road-650 Black, 62",487,1,Black,100,75,782.99,62,60-62 CM,20.0,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
338,BK-R50B-44,2,LB ,CM ,"Road-650 Black, 44",413,1,Black,100,75,699.1,44,42-46 CM,18.77,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
